id;username;nama;password;role;saldo
1;naur4_vp;Naura Valda;naura876;admin;3000000
2;azrilmz02;Azril Multazam;azr1l232;admin;2830000
3;dhan1dpd;Dhani Depardi;dhani999;admin;2002000
4;rrfaza_;Rasyadan Faza;faza9821;admin;4000000
5;dimas_skt;Dimas Sakti;sakti0934;admin;3504000
6;mommamaki;Zenin Maki;makiw0w;user;9900000
7;kengma_geming0101;Kozume Kenma;propleyer;user;700000
8;indra_krenz;Indra Krenz;hobigacha;user;10000000
9;donihartono;Doni Hartono;lgisedih00;user;200000
10;crvell4;Estella;sdedsfsd;user;9000000
11;twjie;Fushiguro Toji;wmiskinbg;user;0
12;cursed_ring;Yuuta Okkotsu;rikadword;user;1000
13;buzzerbnmo;Binomo Wow;ayomainbnomo;user;9999999999
